ID,Mixture_Model,Model_Count
R00492,HKY+FO+I,1
R00502,"MIX{TIM3e,JC}+I+R2",2
R00503,TIM2e+I,1
R00504,"MIX{HKY+FO,JC}+I",2
R00508,"MIX{TPM3,JC}+R3",2
R00511,"MIX{TIM3e,JC}+R2",2
R00512,"MIX{TIM3e,K3P}+G4",2
R00517,"MIX{TVM+FO,TPM3,HKY+FO}+I+R2",3
R00519,"MIX{TIM3+FO,TN+FO}+R2",2
R00521,"MIX{TVM+FO,F81+FO,K2P}+R2",3
R00528,"MIX{TIM3+FO,K3Pu+FO}+R2",2
R00531,"MIX{TPM3,HKY+FO,JC}+I+G4",3
R00533,"MIX{TPM3u+FO,JC}+G4",2
R00536,"MIX{TIM3+FO,TPM3}+R2",2
R00537,"MIX{TPM3,TPM3}+I",2
R00539,K3Pu+FO+G4,1
R00548,TPM3u+FO+I,1
R00549,TPM3u+FO+G4,1
R00551,TPM3+I,1
R00554,K3P+I,1
R00555,HKY+FO+I,1
R00556,"MIX{TPM3u+FO,TIM3e}+I+R2",2
R00558,"MIX{TIM2+FO,F81+FO,TPM3}+G4",3
R00560,"MIX{HKY+FO,JC}+I+G4",2
R00561,"MIX{TPM3u+FO,JC}+I+R2",2
R00562,TPM3u+FO+G4,1
R00573,K2P+G4,1
R00574,"MIX{TPM3u+FO,K2P}+I+R2",2
R00575,"MIX{K2P,JC}+G4",2
R00576,K2P+G4,1
R00584,HKY+FO,1
R00585,"MIX{K2P,JC}+G4",2
R00586,TPM3u+FO+I,1
R00588,TNe+G4,1
R00589,K3Pu+FO+I,1
R00592,"MIX{TPM3u+FO,JC}+I+G4",2
R00594,"MIX{HKY+FO,JC}+I",2
R00596,HKY+FO,1
R00599,"MIX{TPM3u+FO,JC}+R2",2
R00600,TPM3u+FO+G4,1
R00604,HKY+FO+G4,1
R00609,"MIX{TPM3u+FO,JC}+I",2
R00610,"MIX{TPM3u+FO,K3P,TPM2u+FO,JC}+R3",4
R00615,F81+FO,1
R00616,"MIX{TVM+FO,TIM2e,JC}+I+R2",3
R00619,"MIX{K2P,JC}+I",2
R00620,TPM2u+FO+G4,1
R00621,TPM3u+FO+I,1
R00622,K2P+I,1
R00623,"MIX{TPM3u+FO,JC}+I+R2",2
R00624,JC,1
R00625,K3P+I,1
R00626,TIM3+FO+I,1
R00627,"MIX{TPM3u+FO,K3Pu+FO}+I",2
R00628,"MIX{TIM3e,TIM3e}+I+R2",2
R00629,TPM3u+FO+G4,1
R00630,"MIX{TPM3,TPM3}+I",2
R00632,K3P+I,1
R00637,TPM2,1
R00640,TPM2+I,1
R00642,F81+FO+I,1
R00646,TIM3+FO+G4,1
R00647,JC,1
R00655,"MIX{TPM3,K3P}+I",2
R00659,K2P+G4,1
R00663,F81+FO,1
R00664,"MIX{TIM3+FO,K2P,K3P}+I+G4",3
R00681,"MIX{K2P,JC}+G4",2
R00682,"MIX{TPM3u+FO,TIM3e,TN+FO}+G4",3
R00683,"MIX{TPM3,TPM3}+G4",2
R00684,K3P+I,1
R00688,"MIX{TIM3+FO,K2P,TN+FO}+I+R2",3
R00693,K2P+I,1
R00696,"MIX{TPM3u+FO,K2P}+I",2
R00698,"MIX{TPM3u+FO,TN+FO}+G4",2
R00701,"MIX{GTR+FO,K2P}+I+R2",2
R00704,"MIX{TPM3u+FO,TPM3}+R2",2
R00705,TPM2+G4,1
R00710,"MIX{TPM3u+FO,JC}+I+G4",2
R00711,TPM2+R2,1
R00713,"MIX{TIM3+FO,TPM3}+R2",2
R00714,"MIX{HKY+FO,JC}+I+G4",2
R00715,"MIX{K2P,JC}+I+R2",2
R00716,"MIX{HKY+FO,JC}+G4",2
R00717,TN+FO+I,1
R00719,"MIX{TPM3u+FO,TPM3}+I+G4",2
R00722,"MIX{TPM3u+FO,TPM3}+I+G4",2
R00723,"MIX{TPM3u+FO,TPM3}+G4",2
R00728,HKY+FO+I,1
R00732,"MIX{TPM3u+FO,JC}+R2",2
R00733,"MIX{TIM3e,TPM3u+FO,F81+FO}+I+R2",3
R00735,"MIX{TVM+FO,TVMe,TN+FO}+G4",3
R00754,"MIX{TN+FO,TPM3}+G4",2
R00759,TIM3e+I,1
R00760,"MIX{TIM3e,TPM3}+G4",2
R00766,"MIX{TPM2u+FO,TN+FO,JC,K2P}+G4",4
R00772,"MIX{TPM3,JC}+G4",2
R00773,HKY+FO,1
R00799,"MIX{TNe,JC}+I",2
R00802,"MIX{TPM3u+FO,TPM3,TPM2u+FO,F81+FO}+R2",4
R00810,"MIX{TIM2e,TPM3}+G4",2
R00818,JC+I,1
R00819,K2P+G4,1
R00822,"MIX{HKY+FO,JC}+G4",2
R00824,"MIX{TPM3u+FO,TN+FO}+R3",2
R00826,"MIX{GTR+FO,TNe}+R3",2
R00828,"MIX{HKY+FO,JC}+I",2
R00830,"MIX{TIM3+FO,TPM3}+I+R2",2
R00831,TN+FO+I,1
R00832,TIM3+FO+I,1
R00834,TPM3u+FO+I,1
R00836,TPM3u+FO+I,1
R00840,HKY+FO+I,1
R00843,"MIX{TIM3e,K2P,TPM3}+G4",3
R00844,"MIX{TIM3e,TPM3}+I",2
R00847,TIM3e+I,1
R00848,"MIX{TNe,JC}+I",2
R00851,"MIX{TN+FO,K2P}+I",2
R00853,"MIX{TPM3,K2P}+I",2
R00854,"MIX{TPM3u+FO,TPM3,JC}+R3",3
R00856,"MIX{TN+FO,JC}+I",2
R00858,"MIX{TNe,JC}+R2",2
R00859,"MIX{TPM3,JC}+I+R2",2
R00860,TNe+I,1
R00865,HKY+FO+G4,1
R00868,K2P+G4,1
R00889,K2P+G4,1
R00901,"MIX{TPM3,TPM3}+G4",2
R00903,"MIX{TPM2u+FO,TPM3}+I+G4",2
R00906,"MIX{TPM3u+FO,K3Pu+FO}+G4",2
R00919,"MIX{TPM3,K2P}+R2",2
R00921,"MIX{HKY+FO,JC}+I",2
R00923,"MIX{K2P,JC}+I+G4",2
R00927,"MIX{TPM3,F81+FO}+R3",2
R00929,"MIX{HKY+FO,TPM3,JC}+I+G4",3
R00932,"MIX{TIM3+FO,F81+FO}+G4",2
R00933,"MIX{TN+FO,TIM2+FO}+I+R2",2
R00935,"MIX{TPM3,JC}+G4",2
R00938,"MIX{HKY+FO,JC}+I",2
R00942,"MIX{TPM3,TPM3}+I",2
R00950,K2P+G4,1
R00958,"MIX{TPM3u+FO,TPM3,HKY+FO}+R3",3
R00972,K2P,1
R00975,K3P+I,1
R00978,HKY+FO+G4,1
R00982,"MIX{TIM2+FO,JC}+I",2
R00984,"MIX{TPM3u+FO,TNe}+G4",2
R00987,"MIX{TNe,JC}+R2",2
R00988,K2P+I,1
R00990,"MIX{TPM3u+FO,HKY+FO,JC}+R2",3
R00992,"MIX{TPM3u+FO,TPM3}+I",2
R00994,"MIX{TPM3u+FO,K2P}+I+G4",2
R01000,"MIX{TPM3u+FO,TIM+FO}+I+G4",2
R01001,"MIX{TIM3e,TIM3e}+I+R2",2
R01011,"MIX{TN+FO,JC}+I",2
R01015,"MIX{TPM3,TPM3}+I+G4",2
R01020,TPM3+I,1
R01024,TPM3u+FO+I,1
R01027,"MIX{TPM3,K3P}+G4",2
R01029,K2P+G4,1
R01031,TPM2u+FO+I,1
R01033,K3P+G4,1
R01035,"MIX{TPM3u+FO,TPM3}+I+G4",2
R01036,K2P+I,1
R01037,"MIX{TPM3u+FO,K2P}+R2",2
R01039,"MIX{TPM3u+FO,TPM3,JC,F81+FO}+I+G4",4
R01040,"MIX{TIM+FO,K2P}+I",2
R01041,"MIX{TPM3u+FO,TPM3,JC,K2P}+I+G4",4
R01044,"MIX{TIM3+FO,TPM3u+FO,JC}+R2",3
R01045,"MIX{K2P,JC}+R3",2
R01047,"MIX{TVM+FO,K3P}+I+R2",2
R01049,HKY+FO+I,1
R01050,"MIX{TPM3u+FO,TPM3}+I+R2",2
R01057,K2P+I,1
R01065,TIM3+FO+I+G4,1
R01072,"MIX{K2P,JC,TPM3u+FO}+R3",3
R01075,"MIX{TVMe,TVMe,F81+FO}+R2",3
R01088,"MIX{TPM3,TPM3,JC}+R3",3
R01091,"MIX{TPM3,JC}+I+G4",2
R01094,"MIX{TPM3u+FO,K3P}+R2",2
R01101,"MIX{TIM3+FO,TN+FO}+I+G4",2
R01102,"MIX{TIM3e,JC}+I+G4",2
R01104,"MIX{TPM3u+FO,F81+FO,JC}+R3",3
R01125,TIM3+FO+I,1
R01139,TPM3u+FO+G4,1
R01146,TVMe+R3,1
R01148,"MIX{TPM3,TPM3}+R2",2
R01152,"MIX{K2P,JC}+I+G4",2
R01158,"MIX{TVM+FO,TIM+FO,K3P}+R3",3
R01159,"MIX{K2P,K2P}+G4",2
R01162,"MIX{TPM3,TPM3}+I+G4",2
R01163,"MIX{TIM3+FO,TVMe}+R2",2
R01164,"MIX{TNe,JC}+R2",2
R01185,"MIX{K2P,K2P,F81+FO}+I",3
R01186,"MIX{TPM3u+FO,JC}+G4",2
R01187,"MIX{TPM3u+FO,F81+FO}+I",2
R01393,"MIX{TPM3,HKY+FO,JC}+R2",3
R01458,"MIX{TPM3,TPM3}+G4",2
R01481,"MIX{TPM3,TPM3}+G4",2
R01496,"MIX{TPM3u+FO,JC,TPM3}+R2",3
R01502,"MIX{GTR+FO,TIM3+FO}+G4",2
R01504,"MIX{TN+FO,JC}+I",2
R01505,"MIX{TPM3u+FO,TPM3}+G4",2
R01507,"MIX{TIM3+FO,K3P}+I",2
R01509,K2P+G4,1
R01513,"MIX{TIM3+FO,JC}+I",2
R01514,"MIX{TPM3u+FO,TPM2u+FO}+I+G4",2
R01517,"MIX{K3P,K3Pu+FO}+I+G4",2
R01518,TPM3u+FO+R2,1
R01523,K2P+I+G4,1
R01525,"MIX{TPM2u+FO,TPM3}+I+G4",2
R01526,"MIX{TN+FO,JC,TIM3e}+I+R2",3
R01530,"MIX{HKY+FO,JC}+G4",2
R01534,"MIX{TPM3u+FO,TPM3}+I+R2",2
R01537,"MIX{TIM3+FO,JC}+I",2
R01540,"MIX{TPM3u+FO,F81+FO,JC,HKY+FO}+I+R2",4
R01542,JC,1
R01548,"MIX{HKY+FO,JC}+I",2
R01552,"MIX{K2P,JC}+R2",2
R01553,"MIX{K3Pu+FO,F81+FO}+I",2
R01555,"MIX{K2P,JC}+I",2
R01556,"MIX{K2P,JC}+I",2
R01559,"MIX{TPM3u+FO,TPM3,JC}+R2",3
R01560,TPM3+R2,1
R01561,K2P+I,1
R01565,"MIX{HKY+FO,JC}+I",2
R01576,"MIX{K2P,JC}+R3",2
R01577,HKY+FO+G4,1
R01578,TPM3+I,1
R01579,TN+FO+I,1
R01582,"MIX{TPM3u+FO,TPM2u+FO}+I",2
R01585,K2P+I,1
R01592,"MIX{TPM3u+FO,TPM2u+FO,JC}+G4",3
R01593,"MIX{TPM3u+FO,JC}+R2",2
R01594,"MIX{TPM3,JC}+G4",2
R01598,HKY+FO,1
R01599,K2P+I,1
R01601,TPM3u+FO+I,1
R01602,"MIX{HKY+FO,JC}+I",2
R01603,"MIX{TPM3u+FO,F81+FO,TN+FO,JC,TNe}+I+R2",5
R01604,"MIX{TPM3u+FO,F81+FO}+I+R2",2
R01609,"MIX{TIM3e,F81+FO}+I+G4",2
R01610,"MIX{TPM3u+FO,JC}+G4",2
R01625,"MIX{TIM3+FO,JC,K2P}+I+R2",3
R01628,"MIX{TPM2u+FO,JC}+G4",2
R01629,"MIX{TPM3u+FO,JC}+R2",2
R01637,"MIX{TPM3u+FO,JC}+R3",2
R01638,"MIX{TPM3,F81+FO}+I+G4",2
R01641,"MIX{TVMe,JC}+I+R2",2
R01643,TPM3u+FO+I,1
R01648,"MIX{TVM+FO,TPM3,HKY+FO}+I+R2",3
R01651,K2P+I,1
R01652,"MIX{TIM3+FO,JC}+G4",2
R01655,"MIX{K2P,JC}+I",2
R01671,"MIX{TPM3,K2P}+R2",2
R01672,TPM3+G4,1
R01673,TPM3+I,1
R01674,TPM2u+FO+I,1
R01675,"MIX{HKY+FO,TPM2u+FO,JC}+I+G4",3
R01677,"MIX{GTR+FO,TN+FO,TIM2e}+R3",3
R01679,K2P+I,1
R01681,HKY+FO+I,1
R01696,TPM3u+FO+I,1
R01702,"MIX{TPM3,JC}+I+G4",2
R01704,"MIX{TIM3e,JC}+G4",2
R01711,"MIX{TIM3+FO,JC}+G4",2
R01722,"MIX{TIM2e,TPM2}+G4",2
R01727,TPM3+G4,1
R01732,HKY+FO+I,1
R01735,"MIX{HKY+FO,JC,K2P}+G4",3
R01738,K2P+R3,1
R01748,"MIX{TPM3u+FO,TPM3,JC,K3P,K3Pu+FO}+I+R2",5
R01750,"MIX{TVM+FO,TPM3}+G4",2
R01753,"MIX{TPM2u+FO,TN+FO}+I+R2",2
R01759,F81+FO+I,1
R01764,TVM+FO+G4,1
R01772,TPM3+G4,1
R01774,HKY+FO+I,1
R01784,JC+I,1
R01787,"MIX{TVM+FO,TIM2+FO}+I+R2",2
R01788,"MIX{TPM3u+FO,JC,TIM3e}+G4",3
R01789,"MIX{TIM3+FO,F81+FO}+I+R2",2
R01794,K2P+I,1
R01795,TPM3+I,1
R01798,HKY+FO+I,1
R01801,"MIX{TPM3u+FO,K2P}+G4",2
R01803,"MIX{HKY+FO,F81+FO}+I",2
R01807,"MIX{TPM3u+FO,JC}+I",2
R01809,"MIX{K2P,JC}+I+G4",2
R01819,"MIX{TIM3+FO,TPM3}+I+R2",2
R01824,TPM2u+FO+I,1
R01826,"MIX{K2P,JC,K3P}+I+R2",3
R01828,"MIX{K3Pu+FO,TPM2}+I",2
R01834,"MIX{HKY+FO,TIM3+FO}+R3",2
R01838,"MIX{TPM3u+FO,K2P}+I",2
R01841,HKY+FO+I,1
R01844,K2P,1
R01845,"MIX{TPM3u+FO,TPM3,F81+FO,F81+FO}+R3",4
R01847,"MIX{K2P,K2P}+G4",2
R01852,"MIX{SYM,JC}+I+R2",2
R01853,K2P+G4,1
R01858,"MIX{TPM3u+FO,JC}+G4",2
R01860,"MIX{TPM3u+FO,JC}+R2",2
R01861,"MIX{TPM3u+FO,TPM3,JC}+I+R2",3
R01862,"MIX{TIM+FO,HKY+FO}+I",2
R01868,TPM3+I+R2,1
R01874,"MIX{TPM3,TPM3,F81+FO}+G4",3
R01875,HKY+FO+I,1
R01877,"MIX{TIM3e,TIM2+FO}+G4",2
R01878,"MIX{K2P,JC}+I",2
R01879,TIM3e+I+G4,1
R01889,"MIX{TPM3u+FO,JC}+G4",2
R01890,TPM2u+FO+I,1
R01891,"MIX{TPM2u+FO,TN+FO,JC}+I+G4",3
R01893,TNe+I,1
R01895,"MIX{TPM3u+FO,TPM3u+FO}+I+R2",2
R01896,"MIX{TPM2u+FO,JC}+I",2
R01900,"MIX{TPM3u+FO,JC,TIM3e}+G4",3
R01902,TPM3+G4,1
R01903,HKY+FO+I,1
R01904,"MIX{K2P,JC}+I",2
R01906,HKY+FO+I,1
R01907,"MIX{GTR+FO,TN+FO,TIMe}+I+R2",3
R01911,"MIX{TIM3+FO,TPM3}+R3",2
R01915,"MIX{K2P,JC}+I",2
R01918,TIM2+FO+I,1
R01922,"MIX{HKY+FO,JC}+G4",2
R01923,"MIX{TIM3e,F81+FO,K2P}+G4",3
R01924,"MIX{HKY+FO,K2P}+I",2
R01925,TPM3u+FO+I+G4,1
R01928,"MIX{TNe,JC}+G4",2
R01930,"MIX{TPM3,TPM3u+FO}+I+G4",2
R01931,"MIX{TPM3u+FO,TPM3}+R3",2
R01932,"MIX{TPM3,TIM3e}+I+R2",2
R01934,TPM3+I,1
R01936,TPM3u+FO+I,1
R01939,"MIX{K2P,JC}+G4",2
R01940,"MIX{TPM3u+FO,TPM3}+I+G4",2
R01942,"MIX{K2P,JC}+G4",2
R01944,"MIX{TPM3u+FO,K2P}+R2",2
R01948,HKY+FO+I,1
R01949,"MIX{HKY+FO,TNe}+I+G4",2
R01950,"MIX{TIM3e,K3P}+R2",2
R01951,K3Pu+FO+I,1
R01953,"MIX{HKY+FO,JC}+I",2
R01954,TPM3+I,1
R01955,"MIX{TIM3+FO,K2P}+R3",2
R01958,"MIX{HKY+FO,JC}+G4",2
R01959,"MIX{HKY+FO,JC}+G4",2
R01960,TIM3+FO+G4,1
R01964,TPM3+R2,1
R01965,TPM3+G4,1
R01967,"MIX{K2P,JC}+I",2
R01971,TPM3+G4,1
R01972,"MIX{TPM3u+FO,TPM3}+G4",2
R01973,"MIX{TIM2+FO,F81+FO,F81+FO}+I+G4",3
R01974,TPM3u+FO+I,1
R01977,TPM2+I+G4,1
R01979,"MIX{TVM+FO,K3P}+I+R2",2
R01981,"MIX{TNe,JC}+G4",2
R01982,HKY+FO+I,1
R01987,TPM3u+FO+I,1
R01991,"MIX{TVM+FO,F81+FO,K3P}+R3",3
R01992,"MIX{TN+FO,F81+FO,K3P}+I",3
R01996,HKY+FO+I,1
R01999,HKY+FO+I,1
R02001,TPM3u+FO+I,1
R02003,HKY+FO+I,1
R02006,K2P+I,1
R02009,"MIX{TPM3u+FO,K2P}+R2",2
R02010,TIM3e+G4,1
R02013,"MIX{TPM3u+FO,F81+FO}+R2",2
R02014,"MIX{TIM3+FO,TPM3}+I+G4",2
R02017,TN+FO+I,1
R02019,"MIX{HKY+FO,JC}+R2",2
R02030,"MIX{TPM3u+FO,TPM3}+I",2
R02031,HKY+FO+I,1
R02034,"MIX{K2P,JC}+G4",2
R02040,"MIX{TPM3u+FO,JC}+I+G4",2
R02042,F81+FO+I,1
R02047,"MIX{TPM3u+FO,TIM3e}+R2",2
R02049,"MIX{TIM2+FO,JC}+G4",2
R02051,HKY+FO+I+G4,1
R02054,K2P+I,1
R02055,TN+FO+I,1
R02058,"MIX{K2P,JC}+I+R2",2
R02059,TPM3u+FO+I,1
R02060,"MIX{TPM3u+FO,JC}+I+R2",2
R02061,"MIX{TIM3e,JC,F81+FO}+R2",3
R02069,"MIX{TN+FO,K2P}+I",2
R02072,"MIX{TPM3,JC}+I+R2",2
R02075,"MIX{TIM2e,TPM2}+G4",2
R02079,"MIX{TPM3,TPM2}+R2",2
R02088,"MIX{TPM3u+FO,JC,TNe}+I+R2",3
R02091,"MIX{HKY+FO,JC}+G4",2
R02097,"MIX{HKY+FO,JC,TIM3e}+I+R2",3
R02101,"MIX{TPM3,JC}+R3",2
R02102,"MIX{TPM3u+FO,TPM3u+FO,HKY+FO}+G4",3
R02103,"MIX{TPM3u+FO,JC}+R2",2
R02107,"MIX{TVM+FO,JC}+I+R2",2
R02120,"MIX{TIM3+FO,JC}+I",2
R02121,TPM3u+FO+I,1
R02122,"MIX{TPM3u+FO,TPM3}+R3",2
R02123,"MIX{K2P,JC}+I",2
R02124,"MIX{HKY+FO,JC}+I",2
R02131,"MIX{TPM3,F81+FO,TPM2}+G4",3
R02138,"MIX{TPM3u+FO,JC,F81+FO}+I+G4",3
R02141,"MIX{HKY+FO,JC}+G4",2
R02145,"MIX{TPM3u+FO,JC}+G4",2
R02147,"MIX{TPM2u+FO,JC,TPM3}+R2",3
R02149,TPM3u+FO+R2,1
R02150,TPM3u+FO+G4,1
R02155,"MIX{HKY+FO,TIM+FO,JC}+R2",3
R02156,"MIX{TPM3,JC}+R2",2
R02158,"MIX{TNe,TPM2}+I+G4",2
R02161,"MIX{TIM3e,TPM3}+I+R2",2
R02162,"MIX{TIM3e,TPM3}+R2",2
R02163,TNe+I,1
R02164,TIM3+FO+I,1
R02165,"MIX{K2P,JC}+R2",2
R02166,TIM3e+I,1
R02168,TPM3+G4,1
R02169,HKY+FO+G4,1
R02175,"MIX{TPM3,TPM3}+G4",2
R02176,"MIX{TPM3u+FO,TN+FO,TNe}+I+R2",3
R02177,TPM3u+FO+R2,1
R02180,TPM3+I,1
R02181,"MIX{HKY+FO,F81+FO}+I+R2",2
R02182,"MIX{TPM3,JC}+I+G4",2
R02185,"MIX{K2P,JC}+R2",2
R02189,"MIX{TPM3u+FO,TPM2}+I",2
R02192,"MIX{TIM3e,JC}+R2",2
R02199,"MIX{TPM3u+FO,F81+FO}+I+R2",2
R02200,HKY+FO,1
R02205,"MIX{TPM3u+FO,TPM3}+I+R2",2
R02207,"MIX{TPM3,TPM3}+R3",2
R02209,"MIX{TIM3e,JC}+R2",2
R02210,HKY+FO+I,1
R02211,"MIX{TPM3,TPM2}+R2",2
R02212,TPM3u+FO+G4,1
R02220,"MIX{TPM3,JC}+R2",2
R02222,K2P+G4,1
R02231,"MIX{TPM3,F81+FO}+G4",2
R02236,TPM3u+FO+G4,1
R02238,TIM3+FO+I,1
R02240,"MIX{HKY+FO,F81+FO}+I",2
R02252,"MIX{TPM3u+FO,JC}+I",2
R02253,"MIX{TN+FO,K2P}+I+R3",2
R02254,"MIX{HKY+FO,K2P}+I+G4",2
R02262,TPM3u+FO+G4,1
R02263,"MIX{TPM3u+FO,JC}+I+R2",2
R02264,"MIX{TPM3u+FO,JC}+I+R2",2
R02265,"MIX{TPM3u+FO,JC}+G4",2
R02267,"MIX{TPM3,F81+FO}+G4",2
R02272,"MIX{K3P,JC}+G4",2
R02274,"MIX{HKY+FO,JC}+I",2
R02277,"MIX{TIM2+FO,JC}+G4",2
R02278,TIM3+FO+G4,1
R02279,"MIX{TN+FO,K2P}+I+R2",2
R02280,"MIX{TIM3e,JC,TPM3}+I+G4",3
R02281,K2P+G4,1
R02282,"MIX{TPM3,JC}+I+R2",2
R02283,"MIX{TIM3+FO,JC}+I+R2",2
R02287,TVM+FO+G4,1
