ID,Mixture_Model,Model_Count
chr10_11260000_11270000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_11270000_11280000,"MIX{TVM+FO,TPM2,TVMe}+G4",3
chr10_11280000_11290000,"MIX{TPM2,JC}+R2",2
chr10_11290000_11300000,"MIX{TPM2u+FO,JC}+R2",2
chr10_11300000_11310000,"MIX{TVM+FO,JC,K2P}+G4",3
chr10_1130000_1140000,"MIX{K2P,K2P}+I+R2",2
chr10_11310000_11320000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_11320000_11330000,TVM+FO+G4,1
chr10_11330000_11340000,"MIX{TPM3u+FO,JC}+G4",2
chr10_11340000_11350000,TVM+FO+R2,1
chr10_11380000_11390000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_11400000_11410000,"MIX{K3Pu+FO,JC,K2P}+G4",3
chr10_1140000_1150000,"MIX{TPM3u+FO,JC}+R2",2
chr10_11410000_11420000,"MIX{TPM2u+FO,JC,K3P}+G4",3
chr10_11420000_11430000,"MIX{TPM3u+FO,JC}+G4",2
chr10_11430000_11440000,"MIX{TPM3u+FO,JC}+G4",2
chr10_11440000_11450000,"MIX{TPM3u+FO,JC}+G4",2
chr10_11460000_11470000,"MIX{TVM+FO,JC}+G4",2
chr10_11470000_11480000,"MIX{TVM+FO,JC,K2P}+G4",3
chr10_1150000_1160000,"MIX{TPM3u+FO,JC}+R2",2
chr10_11530000_11540000,"MIX{TPM3u+FO,JC}+G4",2
chr10_11550000_11560000,"MIX{TPM2u+FO,JC}+G4",2
chr10_11560000_11570000,"MIX{TVM+FO,F81+FO}+G4",2
chr10_11570000_11580000,TVM+FO+G4,1
chr10_11640000_11650000,TPM2u+FO+G4,1
chr10_11660000_11670000,"MIX{TIM2+FO,JC}+G4",2
chr10_11670000_11680000,TPM3u+FO+G4,1
chr10_11680000_11690000,TPM2u+FO+G4,1
chr10_11690000_11700000,"MIX{TPM3u+FO,JC,F81+FO}+G4",3
chr10_11700000_11710000,TPM3+G4,1
chr10_11710000_11720000,"MIX{TVM+FO,JC}+R2",2
chr10_11720000_11730000,"MIX{TIM2e,JC,K3Pu+FO}+R3",3
chr10_11790000_11800000,"MIX{TPM3,JC}+R2",2
chr10_11880000_11890000,K2P+G4,1
chr10_11890000_11900000,"MIX{TPM2,JC}+R2",2
chr10_11900000_11910000,"MIX{TPM2u+FO,JC,TPM2}+I+R2",3
chr10_11980000_11990000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_11990000_12000000,"MIX{TVM+FO,JC}+G4",2
chr10_12000000_12010000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_12010000_12020000,"MIX{TIM3+FO,TPM2}+G4",2
chr10_12020000_12030000,"MIX{TNe,JC,TNe,F81+FO}+R2",4
chr10_12030000_12040000,"MIX{TPM2u+FO,JC}+G4",2
chr10_12040000_12050000,"MIX{TNe,JC}+G4",2
chr10_12050000_12060000,"MIX{K2P,JC}+G4",2
chr10_12090000_12100000,"MIX{GTR+FO,JC,TPM3}+G4",3
chr10_12100000_12110000,"MIX{TVM+FO,JC,HKY+FO}+I+R2",3
chr10_12110000_12120000,"MIX{TPM2,TVM+FO,K3Pu+FO}+G4",3
chr10_12190000_12200000,"MIX{TVM+FO,JC,K2P}+G4",3
chr10_12200000_12210000,"MIX{K3P,K2P,K3Pu+FO}+I+R2",3
chr10_1220000_1230000,"MIX{TVMe,JC}+R2",2
chr10_12210000_12220000,"MIX{K2P,TPM2u+FO}+I+R2",2
chr10_12220000_12230000,"MIX{TPM2u+FO,TIM3e}+G4",2
chr10_12230000_12240000,TPM3+R2,1
chr10_12240000_12250000,"MIX{TVM+FO,K2P}+I+R2",2
chr10_12270000_12280000,"MIX{TPM2u+FO,TIM3e}+R2",2
chr10_12290000_12300000,"MIX{TPM2u+FO,K2P}+I+R2",2
chr10_12300000_12310000,"MIX{K2P,JC}+G4",2
chr10_12350000_12360000,"MIX{K2P,JC}+I+R2",2
chr10_12360000_12370000,"MIX{TPM2,JC}+G4",2
chr10_12400000_12410000,"MIX{K2P,K2P}+I+R2",2
chr10_12410000_12420000,"MIX{K2P,JC}+G4",2
chr10_12420000_12430000,"MIX{TPM3,JC}+I+R2",2
chr10_12480000_12490000,"MIX{TPM2u+FO,JC}+G4",2
chr10_1250000_1260000,"MIX{TPM3u+FO,TPM2}+R2",2
chr10_12510000_12520000,TIM2+FO+G4,1
chr10_12520000_12530000,"MIX{HKY+FO,JC}+R2",2
chr10_12570000_12580000,"MIX{TPM2u+FO,K2P}+G4",2
chr10_12590000_12600000,"MIX{TPM3u+FO,TPM3}+R2",2
chr10_12600000_12610000,"MIX{TPM2,JC,F81+FO}+R2",3
chr10_1260000_1270000,"MIX{TIM3+FO,TPM2u+FO,JC}+G4",3
chr10_12610000_12620000,"MIX{HKY+FO,JC}+R2",2
chr10_12620000_12630000,"MIX{TPM2,JC}+G4",2
chr10_12660000_12670000,"MIX{TPM2,JC}+R2",2
chr10_12670000_12680000,"MIX{HKY+FO,TPM2,JC}+G4",3
chr10_12680000_12690000,"MIX{TPM2,JC}+G4",2
chr10_12690000_12700000,"MIX{TPM2u+FO,K2P}+I+R2",2
chr10_12700000_12710000,"MIX{K2P,JC}+G4",2
chr10_1270000_1280000,"MIX{TPM2u+FO,SYM,TIMe}+R3",3
chr10_12710000_12720000,"MIX{K2P,F81+FO}+G4",2
chr10_12900000_12910000,"MIX{K2P,JC}+G4",2
chr10_1290000_1300000,"MIX{TPM3u+FO,TPM3}+G4",2
chr10_12910000_12920000,HKY+FO+G4,1
chr10_12920000_12930000,"MIX{K3Pu+FO,K3P}+R2",2
chr10_12930000_12940000,"MIX{TPM2,JC}+G4",2
chr10_12940000_12950000,TPM2u+FO+R2,1
chr10_12950000_12960000,TVM+FO+G4,1
chr10_12960000_12970000,TPM2u+FO+G4,1
chr10_12970000_12980000,"MIX{K2P,JC}+G4",2
chr10_12980000_12990000,TIM2+FO+G4,1
chr10_12990000_13000000,"MIX{TVM+FO,K2P}+G4",2
chr10_13000000_13010000,"MIX{TPM3u+FO,JC}+G4",2
chr10_1300000_1310000,"MIX{TPM2,TPM2}+I+R2",2
chr10_13010000_13020000,TPM2u+FO+G4,1
chr10_13020000_13030000,"MIX{TPM3u+FO,TIM3e}+I+R2",2
chr10_13030000_13040000,"MIX{TVM+FO,TPM2u+FO}+G4",2
chr10_13050000_13060000,"MIX{TPM2u+FO,K2P}+R2",2
chr10_13070000_13080000,"MIX{TIM2+FO,HKY+FO}+R2",2
chr10_13080000_13090000,"MIX{TVM+FO,JC}+G4",2
chr10_13100000_13110000,"MIX{TPM3u+FO,HKY+FO}+I+R2",2
chr10_1310000_1320000,TPM3+G4,1
chr10_13110000_13120000,"MIX{TPM3u+FO,JC}+G4",2
chr10_13130000_13140000,"MIX{TPM2u+FO,JC}+G4",2
chr10_13150000_13160000,"MIX{HKY+FO,JC}+G4",2
chr10_13170000_13180000,TPM3u+FO+G4,1
chr10_13180000_13190000,TPM3u+FO+G4,1
chr10_13190000_13200000,"MIX{TNe,JC,TPM3u+FO}+R2",3
chr10_13200000_13210000,"MIX{TNe,JC}+G4",2
chr10_13210000_13220000,"MIX{TPM3u+FO,JC,K2P}+R2",3
chr10_13220000_13230000,"MIX{TVM+FO,JC}+G4",2
chr10_13230000_13240000,TVM+FO+G4,1
chr10_13370000_13380000,"MIX{TPM2u+FO,TNe}+R2",2
chr10_13380000_13390000,"MIX{HKY+FO,K2P}+I+R2",2
chr10_13390000_13400000,"MIX{TVM+FO,K2P}+G4",2
chr10_13400000_13410000,"MIX{TPM3u+FO,TPM3}+G4",2
chr10_13410000_13420000,"MIX{TPM2u+FO,JC,K2P}+R2",3
chr10_13420000_13430000,"MIX{TPM3u+FO,JC}+G4",2
chr10_13430000_13440000,TPM2u+FO+R2,1
chr10_13440000_13450000,"MIX{TPM2u+FO,K2P}+G4",2
chr10_13450000_13460000,"MIX{TNe,F81+FO,JC}+I+R2",3
chr10_13460000_13470000,"MIX{K2P,JC,TN+FO,TIM3e}+R2",4
chr10_13470000_13480000,"MIX{TIM3e,TNe}+R2",2
chr10_13530000_13540000,"MIX{TNe,TNe}+G4",2
chr10_13540000_13550000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_13550000_13560000,"MIX{K2P,JC,TNe}+I+R2",3
chr10_13560000_13570000,"MIX{TN+FO,TNe}+R2",2
chr10_13600000_13610000,"MIX{GTR+FO,K2P}+G4",2
chr10_13610000_13620000,TVM+FO+G4,1
chr10_13620000_13630000,"MIX{TPM3u+FO,JC,HKY+FO}+R2",3
chr10_13630000_13640000,"MIX{TVM+FO,TN+FO,JC}+G4",3
chr10_13640000_13650000,"MIX{TPM2u+FO,TN+FO}+G4",2
chr10_13650000_13660000,"MIX{TVM+FO,HKY+FO,K3P}+G4",3
chr10_13660000_13670000,"MIX{TPM2u+FO,F81+FO,JC,TIM2e,TNe}+G4",5
chr10_13670000_13680000,"MIX{K2P,JC}+I+R2",2
chr10_13680000_13690000,"MIX{TPM2,JC,K3Pu+FO}+R2",3
chr10_13690000_13700000,"MIX{K3P,JC}+I+R2",2
chr10_13700000_13710000,"MIX{TPM2u+FO,JC,K2P}+G4",3
chr10_13740000_13750000,"MIX{TPM2u+FO,F81+FO}+G4",2
chr10_13750000_13760000,"MIX{TPM2u+FO,K2P}+G4",2
chr10_13760000_13770000,"MIX{TVM+FO,JC}+G4",2
chr10_13770000_13780000,"MIX{TPM2,JC}+I+R2",2
chr10_13790000_13800000,"MIX{TPM3u+FO,TN+FO}+G4",2
chr10_13800000_13810000,"MIX{K2P,JC}+R2",2
chr10_13810000_13820000,"MIX{TPM2u+FO,JC}+R2",2
chr10_13820000_13830000,"MIX{HKY+FO,K2P}+I+R2",2
chr10_13830000_13840000,"MIX{TPM2u+FO,K3P,HKY+FO}+R2",3
chr10_13950000_13960000,"MIX{TPM3u+FO,JC}+I+R2",2
chr10_13960000_13970000,"MIX{TPM2,JC}+G4",2
chr10_13970000_13980000,"MIX{TPM3,JC}+R2",2
chr10_13980000_13990000,"MIX{TVM+FO,JC}+G4",2
chr10_13990000_14000000,"MIX{TVM+FO,F81+FO}+G4",2
chr10_14020000_14030000,"MIX{TIM2+FO,JC}+R2",2
chr10_14040000_14050000,"MIX{HKY+FO,JC,K2P}+I+R2",3
chr10_14060000_14070000,"MIX{TPM2u+FO,GTR+FO}+R2",2
chr10_14070000_14080000,"MIX{TVM+FO,TPM2}+I+R2",2
chr10_14080000_14090000,"MIX{TPM2,JC}+R2",2
chr10_14090000_14100000,"MIX{GTR+FO,TPM2u+FO}+G4",2
chr10_14110000_14120000,"MIX{TPM3u+FO,JC}+G4",2
chr10_14120000_14130000,"MIX{TPM3u+FO,HKY+FO}+R3",2
chr10_14130000_14140000,"MIX{TPM2,TN+FO}+R2",2
chr10_14150000_14160000,"MIX{K2P,JC}+G4",2
chr10_14160000_14170000,"MIX{TPM2,JC}+G4",2
chr10_14190000_14200000,"MIX{TPM2,JC}+G4",2
chr10_14200000_14210000,"MIX{K3Pu+FO,JC}+I+R2",2
chr10_14210000_14220000,"MIX{HKY+FO,JC}+I+R2",2
chr10_14220000_14230000,"MIX{TPM2,JC}+G4",2
chr10_14230000_14240000,"MIX{TVM+FO,K2P,JC}+G4",3
chr10_14250000_14260000,"MIX{TPM2,F81+FO}+G4",2
chr10_14270000_14280000,"MIX{K2P,JC}+G4",2
chr10_14280000_14290000,"MIX{TPM3u+FO,JC}+G4",2
chr10_14290000_14300000,"MIX{HKY+FO,JC}+I+R2",2
chr10_14300000_14310000,"MIX{HKY+FO,JC}+G4",2
chr10_14310000_14320000,"MIX{TPM3u+FO,JC}+I+R2",2
chr10_14320000_14330000,TPM3u+FO+G4,1
chr10_14330000_14340000,"MIX{TPM2u+FO,JC}+G4",2
chr10_14340000_14350000,"MIX{GTR+FO,TNe}+G4",2
chr10_14360000_14370000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_14370000_14380000,"MIX{K2P,TIM2+FO}+G4",2
chr10_14380000_14390000,TPM3u+FO+G4,1
chr10_14390000_14400000,"MIX{TN+FO,JC,TPM3}+I+R2",3
chr10_14420000_14430000,"MIX{TPM2u+FO,K2P}+R2",2
chr10_14440000_14450000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_14450000_14460000,"MIX{TPM3u+FO,JC}+G4",2
chr10_14470000_14480000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_14570000_14580000,"MIX{TPM3u+FO,JC}+I+R2",2
chr10_14580000_14590000,"MIX{K2P,JC}+G4",2
chr10_14590000_14600000,"MIX{TPM3u+FO,JC,K2P}+G4",3
chr10_14600000_14610000,"MIX{TPM3u+FO,JC}+I+R2",2
chr10_14610000_14620000,"MIX{TIM2+FO,JC}+R2",2
chr10_14620000_14630000,"MIX{TIM3+FO,JC,F81+FO}+G4",3
chr10_14630000_14640000,"MIX{TPM2u+FO,JC}+I+R2",2
chr10_14640000_14650000,"MIX{TIM3+FO,K2P}+I+R2",2
chr10_14650000_14660000,"MIX{TPM2u+FO,JC}+G4",2
chr10_14670000_14680000,"MIX{TVM+FO,JC}+I+R2",2
chr10_14680000_14690000,HKY+FO+G4,1
chr10_14700000_14710000,"MIX{K2P,JC}+G4",2
chr10_14710000_14720000,TPM3u+FO+G4,1
chr10_14720000_14730000,"MIX{HKY+FO,TNe}+R2",2
chr10_14730000_14740000,"MIX{TPM2u+FO,K2P,F81+FO}+G4",3
chr10_14740000_14750000,"MIX{TPM2u+FO,K2P}+R2",2
chr10_14750000_14760000,"MIX{K2P,JC}+R2",2
chr10_14760000_14770000,"MIX{TVM+FO,JC,K2P}+R2",3
chr10_14770000_14780000,"MIX{K2P,HKY+FO}+G4",2
chr10_14780000_14790000,"MIX{TPM3u+FO,JC}+G4",2
chr10_14790000_14800000,"MIX{TVM+FO,K2P}+G4",2
chr10_14800000_14810000,"MIX{TPM2u+FO,K2P}+R2",2
chr10_14810000_14820000,TPM2u+FO+G4,1
chr10_14830000_14840000,"MIX{K2P,K2P}+I+R2",2
chr10_14840000_14850000,"MIX{HKY+FO,JC}+G4",2
chr10_14850000_14860000,"MIX{TPM2u+FO,K2P}+G4",2
chr10_14860000_14870000,"MIX{HKY+FO,JC}+I+R2",2
chr10_14870000_14880000,"MIX{TPM2u+FO,JC,TPM3}+G4",3
chr10_14880000_14890000,"MIX{TPM2u+FO,K2P}+G4",2
chr10_14890000_14900000,"MIX{HKY+FO,JC}+G4",2
chr10_14900000_14910000,"MIX{TN+FO,JC,F81+FO}+G4",3
chr10_14910000_14920000,"MIX{HKY+FO,K2P}+G4",2
chr10_14920000_14930000,"MIX{HKY+FO,JC,HKY+FO}+G4",3
chr10_14930000_14940000,"MIX{TPM2u+FO,JC}+G4",2
chr10_14940000_14950000,"MIX{TVM+FO,K2P}+R2",2
chr10_14960000_14970000,TVM+FO+G4,1
chr10_14980000_14990000,"MIX{HKY+FO,JC,TIM2e,K3Pu+FO}+R2",4
chr10_14990000_15000000,TPM3u+FO+G4,1
chr10_15000000_15010000,"MIX{TPM2u+FO,K2P}+R2",2
chr10_15020000_15030000,"MIX{TVM+FO,K2P}+G4",2
chr10_15030000_15040000,"MIX{TPM3u+FO,JC,TPM3}+G4",3
chr10_15050000_15060000,"MIX{TPM2u+FO,K2P,F81+FO}+I+R2",3
chr10_15060000_15070000,"MIX{TPM2u+FO,K2P}+G4",2
chr10_15070000_15080000,"MIX{TIM2+FO,JC}+I+R2",2
chr10_15080000_15090000,"MIX{HKY+FO,K2P}+R2",2
chr10_15090000_15100000,"MIX{TPM2u+FO,TN+FO}+R2",2
chr10_15100000_15110000,"MIX{HKY+FO,JC}+I+R2",2
chr10_15110000_15120000,"MIX{TPM2u+FO,JC,K2P}+G4",3
chr10_15120000_15130000,"MIX{TPM2u+FO,TNe}+G4",2
chr10_15130000_15140000,"MIX{TVM+FO,TIM+FO}+I+R2",2
chr10_15140000_15150000,"MIX{K2P,JC}+I+R2",2
chr10_15150000_15160000,TVM+FO+G4,1
chr10_15160000_15170000,"MIX{TPM3u+FO,TNe,JC}+R2",3
chr10_15170000_15180000,"MIX{TPM3u+FO,K2P}+I+R2",2
chr10_15180000_15190000,"MIX{HKY+FO,TPM3}+I+G4",2
chr10_15190000_15200000,"MIX{TPM2u+FO,K3P}+G4",2
chr10_15200000_15210000,"MIX{TPM2u+FO,K2P}+G4",2
chr10_15210000_15220000,"MIX{K3Pu+FO,JC,TVMe}+G4",3
chr10_15220000_15230000,"MIX{TVM+FO,K2P}+G4",2
chr10_15230000_15240000,"MIX{TPM3u+FO,TPM3}+G4",2
chr10_15240000_15250000,"MIX{HKY+FO,K2P}+G4",2
chr10_15250000_15260000,"MIX{TIM3+FO,JC,K2P}+G4",3
chr10_15260000_15270000,"MIX{TPM2u+FO,JC}+I+R2",2
chr10_15270000_15280000,"MIX{TPM3u+FO,JC}+R2",2
chr10_15280000_15290000,"MIX{TPM2u+FO,JC}+I+R2",2
chr10_15290000_15300000,"MIX{TPM2u+FO,JC}+G4",2
chr10_15300000_15310000,TPM2u+FO+G4,1
chr10_15310000_15320000,TPM2u+FO+G4,1
chr10_15370000_15380000,"MIX{K3P,K3Pu+FO,TPM3}+G4",3
chr10_15390000_15400000,"MIX{TVM+FO,TIM+FO}+R3",2
chr10_15400000_15410000,"MIX{HKY+FO,JC}+R2",2
chr10_15410000_15420000,"MIX{TPM3u+FO,K2P,JC}+R2",3
chr10_15420000_15430000,"MIX{TVM+FO,K2P}+R2",2
chr10_15430000_15440000,"MIX{TVM+FO,JC}+G4",2
chr10_15440000_15450000,"MIX{TVM+FO,F81+FO}+G4",2
chr10_15450000_15460000,"MIX{TPM2u+FO,JC,TNe}+G4",3
chr10_15460000_15470000,"MIX{TPM3u+FO,JC}+G4",2
chr10_15470000_15480000,TIM2+FO+I+G4,1
chr10_15480000_15490000,"MIX{TVM+FO,JC,K3P,K2P}+G4",4
chr10_15490000_15500000,"MIX{TPM3u+FO,TNe}+I+R2",2
chr10_15500000_15510000,"MIX{TPM3u+FO,JC,K2P}+G4",3
chr10_15510000_15520000,"MIX{TPM3u+FO,K2P}+R2",2
chr10_15520000_15530000,"MIX{TPM3u+FO,K2P}+I+R2",2
chr10_15540000_15550000,TVM+FO+G4,1
chr10_15550000_15560000,"MIX{TPM2u+FO,JC}+G4",2
chr10_15580000_15590000,TPM3u+FO+R2,1
chr10_15590000_15600000,"MIX{HKY+FO,K2P}+G4",2
chr10_15600000_15610000,"MIX{TPM3u+FO,JC,TPM2}+G4",3
chr10_15610000_15620000,"MIX{TPM3u+FO,JC}+G4",2
chr10_15640000_15650000,"MIX{TPM2,JC}+G4",2
chr10_15660000_15670000,"MIX{TIM3+FO,JC}+G4",2
chr10_15670000_15680000,"MIX{TIM2+FO,JC}+G4",2
chr10_15680000_15690000,"MIX{K2P,TPM2}+G4",2
chr10_15690000_15700000,"MIX{TVM+FO,JC,K2P}+G4",3
chr10_15700000_15710000,"MIX{TPM3u+FO,TPM2}+G4",2
chr10_15710000_15720000,"MIX{TVM+FO,K2P}+G4",2
chr10_15720000_15730000,"MIX{TPM3u+FO,K2P}+R2",2
chr10_15730000_15740000,"MIX{TPM3u+FO,TPM3}+R2",2
chr10_15740000_15750000,"MIX{TPM2u+FO,JC}+R2",2
chr10_15750000_15760000,TPM3+I+R2,1
chr10_15760000_15770000,"MIX{TPM2,F81+FO}+I+R2",2
chr10_15770000_15780000,"MIX{TPM3u+FO,K2P}+R2",2
chr10_15780000_15790000,"MIX{TPM3,JC,TPM2u+FO}+R2",3
chr10_15790000_15800000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_15820000_15830000,"MIX{TVM+FO,K3P}+G4",2
chr10_15830000_15840000,"MIX{K2P,JC}+G4",2
chr10_15840000_15850000,TVM+FO+R2,1
chr10_15860000_15870000,"MIX{TPM2,JC,F81+FO}+G4",3
chr10_15870000_15880000,"MIX{TPM2u+FO,JC}+G4",2
chr10_15880000_15890000,"MIX{TPM3u+FO,TPM2}+G4",2
chr10_15890000_15900000,"MIX{TVMe,JC}+I+R2",2
chr10_15900000_15910000,"MIX{GTR+FO,JC,TIM3e}+G4",3
chr10_15910000_15920000,"MIX{TPM3u+FO,K3Pu+FO,TPM2}+G4",3
chr10_15920000_15930000,"MIX{HKY+FO,JC}+I+R2",2
chr10_15930000_15940000,"MIX{TPM3u+FO,TPM3,TN+FO,TNe}+I+R2",4
chr10_15940000_15950000,"MIX{TPM3,JC}+G4",2
chr10_15950000_15960000,"MIX{TPM2u+FO,K2P,JC}+G4",3
chr10_15970000_15980000,"MIX{TPM3,JC,TN+FO}+R2",3
chr10_15980000_15990000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_15990000_16000000,"MIX{TPM3u+FO,K3Pu+FO,HKY+FO}+I+R2",3
chr10_16000000_16010000,"MIX{HKY+FO,JC}+R2",2
chr10_16010000_16020000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_16020000_16030000,"MIX{TPM3u+FO,JC,TPM2}+I+R2",3
chr10_16030000_16040000,"MIX{TPM3u+FO,TPM3}+I+R2",2
chr10_16040000_16050000,"MIX{TPM2u+FO,JC,TPM2u+FO}+R2",3
chr10_16060000_16070000,TIM2+FO+G4,1
chr10_16080000_16090000,"MIX{TPM3,JC}+G4",2
chr10_16100000_16110000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_16110000_16120000,"MIX{TVM+FO,K2P}+I+R2",2
chr10_16120000_16130000,"MIX{TPM2u+FO,TIM3e}+R3",2
chr10_16150000_16160000,TIM2+FO+G4,1
chr10_16160000_16170000,"MIX{TVM+FO,JC}+G4",2
chr10_16300000_16310000,TVM+FO+G4,1
chr10_16310000_16320000,TPM2u+FO+R2,1
chr10_16340000_16350000,TPM2+R2,1
chr10_16350000_16360000,"MIX{TPM3,F81+FO}+G4",2
chr10_1640000_1650000,"MIX{TPM2,JC}+G4",2
chr10_16450000_16460000,"MIX{TVM+FO,TNe,JC}+R2",3
chr10_16460000_16470000,"MIX{HKY+FO,JC}+I+R2",2
chr10_16480000_16490000,"MIX{TPM3,JC,HKY+FO,K3P,TPM2u+FO}+I+R2",5
chr10_16490000_16500000,TVM+FO+G4,1
chr10_16500000_16510000,"MIX{TVM+FO,TIM3e}+I+R2",2
chr10_16520000_16530000,"MIX{TPM3u+FO,TPM2u+FO}+G4",2
chr10_16590000_16600000,"MIX{TNe,JC}+G4",2
chr10_16600000_16610000,"MIX{TPM2u+FO,JC}+I",2
chr10_1660000_1670000,"MIX{TPM2u+FO,F81+FO,K2P}+G4",3
chr10_16770000_16780000,"MIX{HKY+FO,HKY+FO,HKY+FO}+G4",3
chr10_16780000_16790000,TPM3+G4,1
chr10_16790000_16800000,"MIX{TVM+FO,JC}+G4",2
chr10_16810000_16820000,TNe+G4,1
chr10_16820000_16830000,"MIX{TIM2+FO,JC}+G4",2
chr10_16840000_16850000,"MIX{TPM3u+FO,K2P}+G4",2
chr10_16870000_16880000,"MIX{GTR+FO,JC}+G4",2
chr10_16890000_16900000,"MIX{TPM2,JC}+G4",2
chr10_16900000_16910000,"MIX{TPM2,K3P}+I+R2",2
chr10_1690000_1700000,"MIX{TVMe,K3P}+I+R2",2
chr10_16910000_16920000,"MIX{TVMe,JC}+I+R2",2
chr10_16930000_16940000,"MIX{TVM+FO,F81+FO,K2P}+I+R2",3
chr10_16970000_16980000,"MIX{TPM3u+FO,TPM2}+G4",2
chr10_16980000_16990000,"MIX{TIM3+FO,K3Pu+FO,K2P,JC}+G4",4
chr10_17150000_17160000,"MIX{TPM3,JC}+I+R2",2
chr10_17250000_17260000,"MIX{TPM3u+FO,TIM3e,TNe}+G4",3
chr10_1730000_1740000,"MIX{TVM+FO,JC,F81+FO,F81+FO}+G4",4
chr10_17330000_17340000,"MIX{TVMe,JC,TPM3}+G4",3
chr10_17510000_17520000,"MIX{TVMe,JC}+G4",2
chr10_17550000_17560000,"MIX{K3P,K3Pu+FO}+G4",2
chr10_17580000_17590000,"MIX{TVM+FO,TPM3,K3P}+G4",3
chr10_1760000_1770000,"MIX{TVMe,TPM3}+G4",2
chr10_17620000_17630000,"MIX{TPM3u+FO,JC,K2P}+R2",3
chr10_17630000_17640000,"MIX{TPM3,F81+FO}+I+R2",2
chr10_17640000_17650000,"MIX{TPM2,JC}+R2",2
chr10_17650000_17660000,"MIX{K3Pu+FO,K3Pu+FO}+G4",2
chr10_17870000_17880000,"MIX{TVM+FO,HKY+FO}+R2",2
chr10_17880000_17890000,"MIX{TVM+FO,JC}+I+R2",2
