File_IDs,BIC Scores from Folder,BIC Values from Specific File,MIX_MF
R00455,8343.4586,8386.513,-43.0544
R00456,2748.1822,2749.274,-1.0918
R00459,9144.3422,9201.293,-56.9508
R00460,2097.941,2112.735,-14.794
R00462,2027.4077,2034.137,-6.7293
R00464,5073.8047,5111.198,-37.3933
R00465,2620.7301,2661.649,-40.9189
R00466,4961.2989,4978.681,-17.3821
R00467,315.759,510.832,-195.073
R00468,9609.83,9738.327,-128.497
R00472,11722.317,11749.328,-27.011
R00474,5586.1976,5616.209,-30.0114
R00475,18510.5953,18561.391,-50.7957
R00479,2631.8168,2640.993,-9.1762
R00481,2717.876,2724.803,-6.927
R00483,1253.386,1298.082,-44.696
R00486,4342.2508,4371.789,-29.5382
R00487,6484.467,6501.072,-16.605
R00489,5225.5321,5249.922,-24.3899
R00492,3336.3838,3345.876,-9.4922
R00502,9081.3009,9101.066,-19.7651
R00503,1468.0863,1520.667,-52.5807
R00504,6840.4951,6849.81,-9.3149
R00508,10781.0589,10807.446,-26.3871
R00511,6044.1056,6076.251,-32.1454
R00512,7149.6434,7182.597,-32.9536
R00517,19001.8107,19087.056,-85.2453
R00519,22179.1579,22248.395,-69.2371
R00521,8661.394,8748.392,-86.998
R00528,15627.951,15670.412,-42.461
R00531,7006.3101,7059.444,-53.1339
R00533,17460.5982,17488.047,-27.4488
R00536,7041.4757,7084.833,-43.3573
R00537,1983.2741,2013.327,-30.0529
R00539,3983.9748,4010.804,-26.8292
R00548,2148.5793,2167.238,-18.6587
R00549,2646.9095,2661.797,-14.8875
R00551,1889.9681,1926.917,-36.9489
R00554,2378.0304,2396.174,-18.1436
R00555,2929.9596,2969.34,-39.3804
R00556,9615.0054,9650.172,-35.1666
R00558,15406.6284,15467.257,-60.6286
R00560,4658.9866,4693.325,-34.3384
R00561,10306.374,10346.32,-39.946
R00562,4148.5435,4159.689,-11.1455
R00573,3782.642,3786.605,-3.963
R00574,9566.4397,9638.184,-71.7443
R00575,5715.0168,5724.215,-9.1982
R00576,2958.235,2980.092,-21.857
R00584,1911.1803,1973.813,-62.6327
R00585,4793.9626,4795.944,-1.9814
R00586,5091.5935,5101.025,-9.4315
R00588,1509.5782,1513.548,-3.9698
R00589,3993.663,4010.869,-17.206
R00592,5852.7403,5860.257,-7.5167
R00594,7720.4815,7758.816,-38.3345
R00596,4464.6303,4466.285,-1.6547
R00599,4645.5631,4674.232,-28.6689
R00600,5678.2921,5718.367,-40.0749
R00604,3616.8745,3624.406,-7.5315
R00609,8111.8641,8122.618,-10.7539
R00610,17671.0459,17767.008,-95.9621
R00615,1742.5621,1814.807,-72.2449
R00616,17666.9472,17731.209,-64.2618
R00619,4140.8404,4186.909,-46.0686
R00620,3867.0267,3870.942,-3.9153
R00621,3887.3018,3906.595,-19.2932
R00622,2994.8429,3035.457,-40.6141
R00623,3653.8356,3678.897,-25.0614
R00624,375.0395,579.487,-204.4475
R00625,2295.9522,2303.567,-7.6148
R00626,3124.1353,3124.335,-0.1997
R00627,5855.6308,5915.425,-59.7942
R00628,9254.72,9302.502,-47.782
R00629,3679.2846,3685.217,-5.9324
R00630,2856.4672,2898.205,-41.7378
R00632,4856.7151,4865.886,-9.1709
R00637,1568.3963,1628.029,-59.6327
R00640,4549.8201,4558.376,-8.5559
R00642,1146.8234,1225.025,-78.2016
R00646,4467.4682,4515.589,-48.1208
R00647,327.0384,523.697,-196.6586
R00655,2332.412,2342.7,-10.288
R00659,1258.1217,1291.165,-33.0433
R00663,1890.8505,1942.755,-51.9045
R00664,6758.1367,6854.259,-96.1223
R00681,4218.8481,4259.444,-40.5959
R00682,8185.8836,8286.638,-100.7544
R00683,8377.6971,8410.708,-33.0109
R00684,2074.5385,2125.158,-50.6195
R00688,14100.4872,14264.769,-164.2818
R00693,4694.4615,4696.444,-1.9825
R00696,5237.6369,5261.499,-23.8621
R00698,7283.6462,7311.294,-27.6478
R00701,25135.9014,25226.707,-90.8056
R00704,10722.6492,10789.828,-67.1788
R00705,3457.7241,3480.743,-23.0189
R00710,11729.5214,11793.306,-63.7846
R00711,2410.3179,2430.502,-20.1841
R00713,16091.3158,16174.479,-83.1632
R00714,6395.4034,6418.905,-23.5016
R00715,7161.2827,7188.185,-26.9023
R00716,12937.9683,12962.82,-24.8517
R00717,3458.1878,3464.39,-6.2022
R00719,19218.7158,19297.248,-78.5322
R00722,6282.8567,6337.871,-55.0143
R00723,4914.6288,4958.37,-43.7412
R00728,5171.8809,5207.38,-35.4991
R00732,5284.8476,5320.122,-35.2744
R00733,14531.4494,14600.789,-69.3396
R00735,24392.4661,24503.453,-110.9869
R00754,7842.4375,7894.724,-52.2865
R00759,5687.8488,5696.186,-8.3372
R00760,3985.6195,4030.503,-44.8835
R00766,46801.3067,46867.255,-65.9483
R00772,7015.9945,7021.566,-5.5715
R00773,719.1271,872.694,-153.5669
R00799,2889.7188,2899.486,-9.7672
R00802,23476.9066,23590.192,-113.2854
R00810,3401.1391,3415.215,-14.0759
R00818,1149.1093,1202.957,-53.8477
R00819,2467.5497,2473.989,-6.4393
R00822,4429.953,4457.472,-27.519
R00824,9752.1946,9813.86,-61.6654
R00826,17016.9321,17049.713,-32.7809
R00828,4320.888,4330.071,-9.183
R00830,13327.5624,13390.134,-62.5716
R00831,1861.9833,1912.339,-50.3557
R00832,1578.6005,1592.491,-13.8905
R00834,3296.773,3317.277,-20.504
R00836,9761.947,9765.502,-3.555
R00840,2459.9765,2500.652,-40.6755
R00843,5151.3611,5175.915,-24.5539
R00844,5450.9172,5487.948,-37.0308
R00847,4265.6896,4318.856,-53.1664
R00848,4844.7812,4852.69,-7.9088
R00851,4757.2501,4798.747,-41.4969
R00853,4900.1372,4921.689,-21.5518
R00854,23211.1277,23320.254,-109.1263
R00856,5177.5887,5181.624,-4.0353
R00858,6455.6181,6489.142,-33.5239
R00859,10920.5248,10946.305,-25.7802
R00860,1675.8241,1713.525,-37.7009
R00865,6841.0972,6847.125,-6.0278
R00868,1281.4954,1321.965,-40.4696
R00889,1732.0093,1743.225,-11.2157
R00901,5541.1072,5556.48,-15.3728
R00903,4489.2882,4533.744,-44.4558
R00906,13610.3445,13651.225,-40.8805
R00919,6948.4429,6996.184,-47.7411
R00921,4920.6542,4949.705,-29.0508
R00923,4369.6385,4408.146,-38.5075
R00927,24483.688,24542.585,-58.897
R00929,17422.3546,17541.535,-119.1804
R00932,9562.5604,9609.46,-46.8996
R00933,21601.5487,21705.994,-104.4453
R00935,3422.8687,3426.744,-3.8753
R00938,4660.2032,4701.97,-41.7668
R00942,6527.5205,6553.253,-25.7325
R00950,2197.8498,2229.252,-31.4022
R00958,24049.7772,24138.01,-88.2328
R00972,2668.9634,2711.562,-42.5986
R00975,3266.1263,3266.164,-0.0377
R00978,9107.8085,9127.574,-19.7655
R00982,2333.1355,2357.624,-24.4885
R00984,12093.6564,12185.773,-92.1166
R00987,5862.1462,5874.613,-12.4668
R00988,1625.5351,1637.416,-11.8809
R00990,15445.2324,15497.863,-52.6306
R00992,5415.7785,5422.998,-7.2195
R00994,15974.4545,16046.173,-71.7185
R01000,7441.2559,7482.041,-40.7851
R01001,10231.3402,10256.993,-25.6528
R01011,3584.5254,3615.81,-31.2846
R01015,5522.5693,5551.514,-28.9447
R01020,6165.1125,6172.848,-7.7355
R01024,6162.9208,6173.232,-10.3112
R01027,4075.5355,4089.903,-14.3675
R01029,2152.337,2159.458,-7.121
R01031,2059.0645,2071.014,-11.9495
R01033,2245.6552,2245.515,0.1402
R01035,10297.2826,10306.27,-8.9874
R01036,3469.5574,3475.124,-5.5666
R01037,15821.8392,15875.429,-53.5898
R01039,6372.0791,6433.699,-61.6199
R01040,6378.724,6388.637,-9.913
R01041,7006.4182,7127.307,-120.8888
R01044,17102.4212,17235.967,-133.5458
R01045,3691.9683,3754.206,-62.2377
R01047,14064.975,14106.966,-41.991
R01049,1221.1976,1236.833,-15.6354
R01050,14366.5016,14448.236,-81.7344
R01057,1287.1371,1387.974,-100.8369
R01065,5819.7428,5873.191,-53.4482
R01072,3206.1577,3228.468,-22.3103
R01075,8958.5362,9025.181,-66.6448
R01088,8312.234,8393.714,-81.48
R01091,3961.336,3979.86,-18.524
R01094,7147.2317,7235.832,-88.6003
R01101,11905.6692,11971.274,-65.6048
R01102,3937.6205,3953.623,-16.0025
R01104,9501.1483,9568.808,-67.6597
R01125,3159.1094,3194.776,-35.6666
R01139,4535.7905,4549.042,-13.2515
R01146,5275.0943,5279.717,-4.6227
R01148,8122.2428,8162.588,-40.3452
R01152,5122.034,5142.85,-20.816
R01158,19836.8819,19987.255,-150.3731
R01159,6662.2659,6717.322,-55.0561
R01162,5235.0251,5260.916,-25.8909
R01163,17024.7058,17139.231,-114.5252
R01164,4368.7074,4404.063,-35.3556
R01185,2221.3828,2241.392,-20.0092
R01186,6674.4354,6693.348,-18.9126
R01187,7207.7232,7211.009,-3.2858
R01393,7192.4015,7347.166,-154.7645
R01458,1865.1687,1894.533,-29.3643
R01481,6389.202,6424.917,-35.715
R01496,16277.2321,16393.611,-116.3789
R01502,18909.0579,18988.691,-79.6331
R01504,5192.7179,5246.243,-53.5251
R01505,19281.3991,19354.593,-73.1939
R01507,4315.71,4344.933,-29.223
R01509,2085.4189,2088.523,-3.1041
R01513,10362.7636,10384.423,-21.6594
R01514,14507.1297,14560.561,-53.4313
R01517,9380.5336,9431.944,-51.4104
R01518,9347.3887,9391.619,-44.2303
R01523,5649.2465,5655.479,-6.2325
R01525,14313.8328,14362.799,-48.9662
R01526,16217.7584,16274.679,-56.9206
R01530,12835.7046,12862.454,-26.7494
R01534,11624.4739,11702.988,-78.5141
R01537,9442.0947,9475.222,-33.1273
R01540,13200.9989,13307.909,-106.9101
R01542,1372.7671,1443.673,-70.9059
R01548,9988.4896,10036.13,-47.6404
R01552,3238.0934,3251.687,-13.5936
R01553,5227.2738,5242.03,-14.7562
R01555,3768.116,3804.57,-36.454
R01556,5135.8298,5159.833,-24.0032
R01559,8453.2532,8515.777,-62.5238
R01560,6084.3926,6102.957,-18.5644
R01561,2037.026,2113.683,-76.657
R01565,4678.9597,4703.98,-25.0203
R01576,8994.155,9027.053,-32.898
R01577,5350.0065,5374.752,-24.7455
R01578,3153.2619,3206.549,-53.2871
R01579,4795.3808,4823.317,-27.9362
R01582,6869.2225,6891.624,-22.4015
R01585,1594.3276,1609.583,-15.2554
R01592,32391.5664,32462.534,-70.9676
R01593,15455.8483,15509.035,-53.1867
R01594,5478.6518,5498.684,-20.0322
R01598,4258.1607,4305.098,-46.9373
R01599,3823.3214,3839.456,-16.1346
R01601,12758.5521,12797.249,-38.6969
R01602,5923.0858,5939.319,-16.2332
R01603,26970.3354,27134.594,-164.2586
R01604,12581.9918,12646.106,-64.1142
R01609,6496.1921,6520.063,-23.8709
R01610,13042.2856,13080.26,-37.9744
R01625,15756.2388,15825.48,-69.2412
R01628,11223.8721,11261.177,-37.3049
R01629,8109.2945,8125.849,-16.5545
R01637,8619.9347,8634.433,-14.4983
R01638,6273.7413,6300.58,-26.8387
R01641,6057.0212,6082.439,-25.4178
R01643,4917.5457,4917.763,-0.2173
R01648,32200.5725,32324.486,-123.9135
R01651,3609.5534,3637.316,-27.7626
R01652,15156.7874,15197.092,-40.3046
R01655,4005.2501,4021.896,-16.6459
R01671,6243.6495,6258.491,-14.8415
R01672,4538.7637,4559.388,-20.6243
R01673,4555.9853,4605.62,-49.6347
R01674,5208.9074,5214.406,-5.4986
R01675,12532.4798,12608.151,-75.6712
R01677,50135.0904,50281.083,-145.9926
R01679,7741.8075,7742.207,-0.3995
R01681,3187.2978,3251.525,-64.2272
R01696,2022.1482,2040.142,-17.9938
R01702,7432.0794,7478.816,-46.7366
R01704,7687.1217,7746.434,-59.3123
R01711,14071.1343,14197.711,-126.5767
R01722,4353.9007,4392.984,-39.0833
R01727,3323.4793,3329.964,-6.4847
R01732,3957.2631,3960.79,-3.5269
R01735,18841.1051,18853.988,-12.8829
R01738,3735.3443,3756.383,-21.0387
R01748,20587.4344,20762.24,-174.8056
R01750,3763.7335,3802.404,-38.6705
R01753,26818.9359,26874.442,-55.5061
R01759,2978.0092,2989.797,-11.7878
R01764,2345.8959,2369.163,-23.2671
R01772,2400.6234,2415.387,-14.7636
R01774,5426.8196,5449.17,-22.3504
R01784,1708.0529,1759.046,-50.9931
R01787,22107.679,22186.567,-78.888
R01788,3755.0982,3784.929,-29.8308
R01789,10086.4261,10143.388,-56.9619
R01794,3644.1606,3648.033,-3.8724
R01795,2229.5183,2229.52,-0.0017
R01798,5258.3217,5269.696,-11.3743
R01801,7501.7565,7536.776,-35.0195
R01803,3854.091,3872.554,-18.463
R01807,3972.0936,3980.241,-8.1474
R01809,4302.156,4311.679,-9.523
R01819,11453.1966,11558.836,-105.6394
R01824,1168.0348,1204.996,-36.9612
R01826,10070.7291,10176.084,-105.3549
R01828,5271.3075,5290.043,-18.7355
R01834,12524.5634,12553.713,-29.1496
R01838,5100.6815,5129.698,-29.0165
R01841,4096.0514,4096.928,-0.8766
R01844,2291.233,2312.605,-21.372
R01845,7242.1173,7341.6,-99.4827
R01847,3332.9876,3358.443,-25.4554
R01852,13334.4707,13398.426,-63.9553
R01853,2568.1668,2574.58,-6.4132
R01858,5267.1423,5309.257,-42.1147
R01860,9626.6411,9637.488,-10.8469
R01861,12468.6038,12579.049,-110.4452
R01862,5001.7068,5015.122,-13.4152
R01868,4449.0042,4465.865,-16.8608
R01874,4547.4981,4582.503,-35.0049
R01875,5106.7974,5113.835,-7.0376
R01877,10448.0431,10496.321,-48.2779
R01878,4837.4412,4868.068,-30.6268
R01879,2368.107,2376.485,-8.378
R01889,7990.2632,8003.425,-13.1618
R01890,5145.8952,5154.223,-8.3278
R01891,20374.3985,20402.54,-28.1415
R01893,2704.6367,2732.001,-27.3643
R01895,8789.4975,8813.926,-24.4285
R01896,4217.2919,4243.765,-26.4731
R01900,4364.7934,4391.088,-26.2946
R01902,3018.2543,3050.522,-32.2677
R01903,6362.6736,6379.701,-17.0274
R01904,5606.8162,5646.321,-39.5048
R01906,4480.0565,4493.629,-13.5725
R01907,31757.8279,31807.421,-49.5931
R01911,14626.1174,14696.762,-70.6446
R01915,1946.7892,1968.379,-21.5898
R01918,5811.4813,5824.541,-13.0597
R01922,3980.4595,3983.991,-3.5315
R01923,7887.6911,7938.181,-50.4899
R01924,7412.0508,7437.424,-25.3732
R01925,10088.3817,10104.45,-16.0683
R01928,3956.6068,3991.803,-35.1962
R01930,2700.9706,2726.696,-25.7254
R01931,28663.9077,28745.211,-81.3033
R01932,6984.7157,7038.089,-53.3733
R01934,2254.4173,2257.372,-2.9547
R01936,5839.0905,5852.435,-13.3445
R01939,3464.6286,3481.58,-16.9514
R01940,6722.6782,6744.608,-21.9298
R01942,1933.8289,1942.74,-8.9111
R01944,6598.7088,6651.966,-53.2572
R01948,3365.2413,3375.91,-10.6687
R01949,13425.9285,13567.395,-141.4665
R01950,6810.4799,6855.496,-45.0161
R01951,3305.3853,3308.918,-3.5327
R01953,2956.6879,2966.085,-9.3971
R01954,3265.5435,3300.551,-35.0075
R01955,12278.4744,12316.748,-38.2736
R01958,2196.9745,2201.815,-4.8405
R01959,9367.3276,9400.051,-32.7234
R01960,6109.2607,6130.428,-21.1673
R01964,1771.2083,1793.07,-21.8617
R01965,2913.5073,2921.838,-8.3307
R01967,4486.721,4509.119,-22.398
R01971,1717.5808,1729.47,-11.8892
R01972,6817.4312,6872.224,-54.7928
R01973,8372.602,8428.124,-55.522
R01974,2838.2066,2841.003,-2.7964
R01977,5905.1694,5927.275,-22.1056
R01979,42683.3884,42833.954,-150.5656
R01981,6683.9937,6710.996,-27.0023
R01982,5118.7005,5132.08,-13.3795
R01987,2599.4109,2605.953,-6.5421
R01991,10941.9048,10999.068,-57.1632
R01992,8611.0263,8674.873,-63.8467
R01996,4432.3055,4450.854,-18.5485
R01999,6817.1379,6838.893,-21.7551
R02001,4937.1131,4941.918,-4.8049
R02003,3795.8354,3801.471,-5.6356
R02006,1178.7245,1211.662,-32.9375
R02009,9047.3965,9089.534,-42.1375
R02010,8412.4639,8419.794,-7.3301
R02013,17624.3088,17670.551,-46.2422
R02014,12381.9092,12427.512,-45.6028
R02017,2975.795,3092.649,-116.854
R02019,4627.9683,4649.304,-21.3357
R02030,6071.2219,6088.097,-16.8751
R02031,2641.7051,2655.966,-14.2609
R02034,4203.9256,4228.765,-24.8394
R02040,10752.1727,10783.32,-31.1473
R02042,2295.3518,2299.596,-4.2442
R02047,10061.0275,10156.977,-95.9495
R02049,11148.4354,11230.351,-81.9156
R02051,6828.9258,6833.412,-4.4862
R02054,2675.6383,2697.945,-22.3067
R02055,5875.0713,5882.396,-7.3247
R02058,2762.91,2837.563,-74.653
R02059,4825.9586,4834.451,-8.4924
R02060,14345.6455,14408.145,-62.4995
R02061,7142.5166,7168.874,-26.3574
R02069,7666.1869,7716.291,-50.1041
R02072,9192.8555,9253.846,-60.9905
R02075,1564.0656,1622.267,-58.2014
R02079,4790.4836,4829.313,-38.8294
R02088,8695.8392,8713.967,-18.1278
R02091,3775.8543,3798.073,-22.2187
R02097,14970.5254,14987.86,-17.3346
R02101,7912.7802,7980.718,-67.9378
R02102,13715.7806,13765.012,-49.2314
R02103,4691.5586,4711.55,-19.9914
R02107,12588.1529,12620.733,-32.5801
R02120,6454.7261,6498.246,-43.5199
R02121,3164.5499,3181.798,-17.2481
R02122,10890.8956,10958.552,-67.6564
R02123,3229.6727,3245.446,-15.7733
R02124,4349.5099,4378.581,-29.0711
R02131,3612.9552,3620.559,-7.6038
R02138,19880.652,19938.339,-57.687
R02141,4876.6279,4879.789,-3.1611
R02145,6157.5486,6191.521,-33.9724
R02147,11652.0472,11322.546,329.5012
R02149,4428.1191,4463.125,-35.0059
R02150,2541.7264,2550.28,-8.5536
R02155,22991.4387,23091.242,-99.8033
R02156,4505.3632,4536.264,-30.9008
R02158,4660.1608,4694.656,-34.4952
R02161,15745.5881,15809.874,-64.2859
R02162,19822.0492,19942.053,-120.0038
R02163,3265.5722,3314.856,-49.2838
R02164,6955.626,6974.889,-19.263
R02165,2333.3658,2348.306,-14.9402
R02166,3968.4983,3975.933,-7.4347
R02168,4954.495,4960.148,-5.653
R02169,9306.6029,9313.854,-7.2511
R02175,3834.1193,3849.931,-15.8117
R02176,15753.0405,15839.887,-86.8465
R02177,7034.7446,7056.914,-22.1694
R02180,3182.8372,3194.749,-11.9118
R02181,8961.1369,9007.203,-46.0661
R02182,14414.739,14457.824,-43.085
R02185,6638.06,6712.35,-74.29
R02189,4135.6265,4182.5,-46.8735
R02192,11029.8588,11090.882,-61.0232
R02199,13192.6576,13257.624,-64.9664
R02200,3937.7952,3982.909,-45.1138
R02205,8918.8885,9011.077,-92.1885
R02207,4951.5193,4963.496,-11.9767
R02209,11706.1447,11776.603,-70.4583
R02210,1583.5122,1632.249,-48.7368
R02211,11802.6771,11877.77,-75.0929
R02212,6480.2334,6531.194,-50.9606
R02220,7819.1342,7840.985,-21.8508
R02222,5144.3977,5156.7,-12.3023
R02231,3464.4955,3472.51,-8.0145
R02236,3580.3902,3588.258,-7.8678
R02238,2759.2131,2778.926,-19.7129
R02240,11150.4459,11217.895,-67.4491
R02252,7726.3761,7735.054,-8.6779
R02253,38274.9618,38345.989,-71.0272
R02254,7296.0618,7338.252,-42.1902
R02262,11964.9108,11980.599,-15.6882
R02263,12365.9741,12401.341,-35.3669
R02264,14863.1118,14948.325,-85.2132
R02265,10432.7453,10453.453,-20.7077
R02267,2044.6469,2052.129,-7.4821
R02272,4626.199,4633.928,-7.729
R02274,3649.2767,3668.644,-19.3673
R02277,5176.1986,5198.16,-21.9614
R02278,7878.9854,7879.776,-0.7906
R02279,14258.2117,14318.705,-60.4933
R02280,6067.5715,6099.272,-31.7005
R02281,3951.7812,3953.739,-1.9578
R02282,2754.8825,2772.862,-17.9795
R02283,17989.7219,18023.646,-33.9241
R02287,8818.8159,8861.982,-43.1661
R02289,5238.8109,5242.322,-3.5111
R02292,17407.8307,17573.776,-165.9453
R02294,8178.3441,8192.65,-14.3059
R02296,4820.64,4864.756,-44.116
R02299,2317.2799,2341.443,-24.1631
R02301,8561.016,8592.948,-31.932
R02306,5596.2416,5607.506,-11.2644
R02309,9923.8147,10014.579,-90.7643
R02315,6103.5937,6132.049,-28.4553
R02318,7009.0895,7025.531,-16.4415
R02321,7722.9631,7733.415,-10.4519
R02326,4283.1286,4305.394,-22.2654
R02329,4275.1661,4305.124,-29.9579
R02331,10753.027,10830.561,-77.534
R02336,3741.2828,3748.675,-7.3922
R02339,5625.5222,5639.72,-14.1978
R02342,2980.5982,3003.051,-22.4528
R02343,2238.6748,2261.341,-22.6662
R02349,6684.6118,6705.181,-20.5692
R02352,1972.0039,1988.175,-16.1711
R02355,6600.2203,6725.612,-125.3917
R02358,2080.219,2088.476,-8.257
R02362,4432.9693,4451.234,-18.2647
R02365,3070.131,3073.361,-3.23
R02372,2621.6662,2647.507,-25.8408
R02373,2578.9882,2598.33,-19.3418
R02380,1930.6535,1934.301,-3.6475
R02383,6566.3467,6681.436,-115.0893
R02398,17916.5497,18110.474,-193.9243
R02404,7736.8597,7793.239,-56.3793
R02406,1797.8894,1818.341,-20.4516
R02407,6963.2701,6986.65,-23.3799
R02426,7349.1527,7391.973,-42.8203
R02427,5247.7586,5270.197,-22.4384
R02428,8943.8772,8988.479,-44.6018
R02430,21602.8298,21672.694,-69.8642
R02436,12507.2148,12569.97,-62.7552
R02437,2483.5894,2539.776,-56.1866
R02438,9779.4055,9799.113,-19.7075
R02439,2946.8738,2979.534,-32.6602
R02440,4839.2755,4854.257,-14.9815
R02442,2787.9878,2838.301,-50.3132
R02443,7713.7475,7777.062,-63.3145
R02448,6386.7831,6409.183,-22.3999
R02450,11943.9068,11990.336,-46.4292
R02453,12711.7413,12852.353,-140.6117
R02456,2064.7893,2077.247,-12.4577
R02458,5012.4243,5047.263,-34.8387
R02459,10371.7526,10403.285,-31.5324
R02462,1257.5561,1334.074,-76.5179
R02472,3700.3243,3742.322,-41.9977
R02483,2064.5506,2067.721,-3.1704
R02484,2967.8252,2986.831,-19.0058
R02485,3973.5442,3979.163,-5.6188
R02488,2564.7288,2601.762,-37.0332
R02489,4047.1389,4074.312,-27.1731
R02490,6061.088,6091.098,-30.01
R02492,5773.9474,5807.374,-33.4266
R02494,8117.2669,8160.955,-43.6881
R02503,5220.7806,5242.628,-21.8474
R02505,8203.5318,8243.811,-40.2792
R02506,9424.7516,9467.113,-42.3614
R02507,10988.9176,11058.165,-69.2474
R02509,6031.0212,6044.952,-13.9308
R02512,3353.3906,3356.757,-3.3664
R02514,16279.7095,16392.022,-112.3125
R02519,4888.3621,4908.649,-20.2869
R02525,7973.3073,8008.184,-34.8767
R02531,1250.3669,1321.468,-71.1011
R02533,8047.1734,8107.248,-60.0746
